id,term_type,category,category_en,category_fa,fa,de,en,definition_en,definition_de,example_de,example_fa,example_de_2,example_fa_2,source,example_style
1,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,حفاظت ایمنی و سلامت کار,Arbeitsschutz,occupational safety and health,"Occupational safety and health is the systematic prevention of work-related accidents, illnesses and health hazards through technical, organisational and personal measures.","Arbeitsschutz ist die systematische Verhütung von Arbeitsunfällen, Berufskrankheiten und arbeitsbedingten Gesundheitsgefahren durch technische, organisatorische und persönliche Maßnahmen.","Wirksamer Arbeitsschutz beginnt bereits bei der Arbeitsvorbereitung: Gefährdungen werden ermittelt, Verantwortliche benannt und Maßnahmen vor Ort kontrolliert.",حفاظت مؤثر در کار از مرحله آماده‌سازی آغاز می‌شود: خطرات شناسایی، مسئولان تعیین و اقدامات در محل کنترل می‌شوند.,"Im RAMS und in der Unterweisung zu „Arbeitsschutz“ wurde dieser konkrete Arbeitsablauf beschrieben: Gefährdungen werden ermittelt, Verantwortliche benannt und Maßnahmen vor Ort kontrolliert.",در RAMS و آموزش مربوط به «حفاظت ایمنی و سلامت کار» این روند واقعی کار شرح داده شد: خطرات شناسایی، مسئولان تعیین و اقدامات در محل کنترل می‌شوند.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
2,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,ایمنی کار,Arbeitssicherheit,workplace safety,Workplace safety is the condition in which work is planned and performed so that accident risks are reduced to an acceptable level.,"Arbeitssicherheit ist der Zustand, in dem Arbeit so geplant und ausgeführt wird, dass Unfallgefahren auf ein vertretbares Maß reduziert sind.","Die Arbeitssicherheit war nicht gewährleistet, weil Beschäftigte und rückwärtsfahrende Baumaschinen denselben Verkehrsweg nutzten.",ایمنی کار تأمین نشده بود، زیرا کارکنان و ماشین‌آلات ساختمانی در حال حرکت دنده‌عقب از یک مسیر مشترک استفاده می‌کردند.,"Im RAMS und in der Unterweisung zu „Arbeitssicherheit“ wurde dieser konkrete Arbeitsablauf beschrieben: Die Arbeitssicherheit war nicht gewährleistet, weil Beschäftigte und rückwärtsfahrende Baumaschinen denselben Verkehrsweg nutzten.",در RAMS و آموزش مربوط به «ایمنی کار» این روند واقعی کار شرح داده شد: ایمنی کار تأمین نشده بود، زیرا کارکنان و ماشین‌آلات ساختمانی در حال حرکت دنده‌عقب از یک مسیر مشترک استفاده می‌کردند.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
3,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,حفاظت از سلامت,Gesundheitsschutz,health protection,Health protection comprises measures that prevent or reduce harmful effects of work on employees’ physical and mental health.,"Gesundheitsschutz umfasst Maßnahmen, die schädliche Auswirkungen der Arbeit auf die körperliche und psychische Gesundheit der Beschäftigten verhindern oder verringern.","Zum Gesundheitsschutz wurden bei starker Hitze zusätzliche Trinkpausen, Schattenplätze und eine angepasste Arbeitszeit festgelegt.",برای حفاظت از سلامت در گرمای شدید، زمان‌های اضافی نوشیدن آب، محل سایه و ساعت کاری متناسب تعیین شد.,"Im RAMS und in der Unterweisung zu „Gesundheitsschutz“ wurde dieser konkrete Arbeitsablauf beschrieben: Zum Gesundheitsschutz wurden bei starker Hitze zusätzliche Trinkpausen, Schattenplätze und eine angepasste Arbeitszeit festgelegt.",در RAMS و آموزش مربوط به «حفاظت از سلامت» این روند واقعی کار شرح داده شد: برای حفاظت از سلامت در گرمای شدید، زمان‌های اضافی نوشیدن آب، محل سایه و ساعت کاری متناسب تعیین شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
4,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,عامل خطر,Gefährdung,hazard,"A hazard is a source, situation or action with the potential to cause injury, illness, damage or another adverse effect.","Eine Gefährdung ist eine Quelle, Situation oder Handlung mit dem Potenzial, Verletzungen, Erkrankungen, Schäden oder andere negative Folgen zu verursachen.","Eine Gefährdung entstand, als Material oberhalb eines Verkehrswegs gelagert wurde und herabfallen konnte.",هنگامی که مصالح بالای مسیر تردد انبار شد و امکان سقوط آن وجود داشت، یک عامل خطر ایجاد شد.,"In der Gefährdungsbeurteilung zu „Gefährdung“ wurde dieser Praxisfall dokumentiert: Eine Gefährdung entstand, als Material oberhalb eines Verkehrswegs gelagert wurde und herabfallen konnte.",در ارزیابی ریسک «عامل خطر» این وضعیت عملی ثبت شد: هنگامی که مصالح بالای مسیر تردد انبار شد و امکان سقوط آن وجود داشت، یک عامل خطر ایجاد شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
5,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,ریسک,Risiko,risk,Risk is the combination of the probability that a harmful event will occur and the severity of its possible consequences.,Risiko ist die Kombination aus der Wahrscheinlichkeit eines schädigenden Ereignisses und der Schwere seiner möglichen Folgen.,"Das Risiko wurde neu bewertet, nachdem sich die Eintrittswahrscheinlichkeit durch gleichzeitige Kran- und Montagearbeiten erhöht hatte.",پس از افزایش احتمال وقوع به دلیل انجام هم‌زمان عملیات جرثقیل و مونتاژ، ریسک دوباره ارزیابی شد.,"In der Gefährdungsbeurteilung zu „Risiko“ wurde dieser Praxisfall dokumentiert: Das Risiko wurde neu bewertet, nachdem sich die Eintrittswahrscheinlichkeit durch gleichzeitige Kran- und Montagearbeiten erhöht hatte.",در ارزیابی ریسک «ریسک» این وضعیت عملی ثبت شد: پس از افزایش احتمال وقوع به دلیل انجام هم‌زمان عملیات جرثقیل و مونتاژ، ریسک دوباره ارزیابی شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
6,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,ارزیابی ریسک,Gefährdungsbeurteilung,risk assessment,"A risk assessment is a structured process for identifying hazards, evaluating risks and defining suitable control measures before and during work.","Eine Gefährdungsbeurteilung ist ein strukturierter Prozess zur Ermittlung von Gefährdungen, Bewertung von Risiken und Festlegung geeigneter Schutzmaßnahmen vor und während der Arbeit.","Die Gefährdungsbeurteilung für die Siebanlage berücksichtigte Quetschstellen, Staub, Lärm, Wartungszugänge und den Baustellenverkehr.",ارزیابی ریسک دستگاه سرند شامل نقاط گیرکردن، گردوغبار، صدا، دسترسی تعمیراتی و تردد کارگاهی بود.,"In der Gefährdungsbeurteilung zu „Gefährdungsbeurteilung“ wurde dieser Praxisfall dokumentiert: Die Gefährdungsbeurteilung für die Siebanlage berücksichtigte Quetschstellen, Staub, Lärm, Wartungszugänge und den Baustellenverkehr.",در ارزیابی ریسک «ارزیابی ریسک» این وضعیت عملی ثبت شد: ارزیابی ریسک دستگاه سرند شامل نقاط گیرکردن، گردوغبار، صدا، دسترسی تعمیراتی و تردد کارگاهی بود.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
7,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,اقدام حفاظتی,Schutzmaßnahme,control measure,A control measure is an action or safeguard selected to eliminate a hazard or reduce the associated risk.,"Eine Schutzmaßnahme ist eine Handlung oder Vorkehrung, mit der eine Gefährdung beseitigt oder das damit verbundene Risiko verringert wird.",Als Schutzmaßnahme wurde der Gefahrenbereich der schwenkenden Maschine mit festen Barrieren abgesperrt.,به‌عنوان اقدام حفاظتی، محدوده خطر چرخش دستگاه با موانع ثابت مسدود شد.,Im RAMS und in der Unterweisung zu „Schutzmaßnahme“ wurde dieser konkrete Arbeitsablauf beschrieben: Als Schutzmaßnahme wurde der Gefahrenbereich der schwenkenden Maschine mit festen Barrieren abgesperrt.,در RAMS و آموزش مربوط به «اقدام حفاظتی» این روند واقعی کار شرح داده شد: به‌عنوان اقدام حفاظتی، محدوده خطر چرخش دستگاه با موانع ثابت مسدود شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
8,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,اصل سلسله‌مراتب کنترل خطر,STOP-Prinzip,hierarchy of controls,"The hierarchy of controls ranks risk controls in the order substitution, technical controls, organisational controls and personal protective measures.","Das STOP-Prinzip ordnet Schutzmaßnahmen in der Reihenfolge Substitution, technische, organisatorische und persönliche Maßnahmen.","Nach dem STOP-Prinzip wurde zuerst ein lösemittelarmes Ersatzprodukt gewählt, bevor Absaugung, Arbeitsorganisation und PSA festgelegt wurden.",بر اساس اصل STOP ابتدا یک محصول جایگزین با حلال کمتر انتخاب شد و سپس مکش، سازمان‌دهی کار و تجهیزات حفاظت فردی تعیین شد.,"Im RAMS und in der Unterweisung zu „STOP-Prinzip“ wurde dieser konkrete Arbeitsablauf beschrieben: Nach dem STOP-Prinzip wurde zuerst ein lösemittelarmes Ersatzprodukt gewählt, bevor Absaugung, Arbeitsorganisation und PSA festgelegt wurden.",در RAMS و آموزش مربوط به «اصل سلسله‌مراتب کنترل خطر» این روند واقعی کار شرح داده شد: بر اساس اصل STOP ابتدا یک محصول جایگزین با حلال کمتر انتخاب شد و سپس مکش، سازمان‌دهی کار و تجهیزات حفاظت فردی تعیین شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
9,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,جایگزینی,Substitution,substitution,Substitution is an organised method or control used to prevent injuries and work-related ill health.,"Substitution ist ein organisiertes Verfahren oder eine Schutzmaßnahme, um Verletzungen und arbeitsbedingte Gesundheitsgefahren zu vermeiden.",Durch Substitution wurde ein stark lösemittelhaltiger Reiniger durch ein weniger gefährliches Produkt ersetzt.,با جایگزینی، پاک‌کننده دارای حلال زیاد با محصولی کم‌خطرتر تعویض شد.,Im RAMS und in der Unterweisung zu „Substitution“ wurde dieser konkrete Arbeitsablauf beschrieben: Durch Substitution wurde ein stark lösemittelhaltiger Reiniger durch ein weniger gefährliches Produkt ersetzt.,در RAMS و آموزش مربوط به «جایگزینی» این روند واقعی کار شرح داده شد: با جایگزینی، پاک‌کننده دارای حلال زیاد با محصولی کم‌خطرتر تعویض شد.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
10,core,Allgemeiner Arbeitsschutz,General occupational safety,اصول عمومی ایمنی و بهداشت کار,اقدام فنی,Technische Maßnahme,engineering control,Engineering control is an organised method or control used to prevent injuries and work-related ill health.,"Technische Maßnahme ist ein organisiertes Verfahren oder eine Schutzmaßnahme, um Verletzungen und arbeitsbedingte Gesundheitsgefahren zu vermeiden.","Technische Maßnahme: Ein Beinaheunfall wurde gemeldet, nachdem ungesichertes Material in einen Laufweg gerutscht war. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Bereich wurde sofort gesichert, die Ursache bewertet und eine Maßnahme mit Verantwortlichem und Frist festgelegt.",اقدام فنی: پس از لغزش مصالح مهارنشده به مسیر تردد، یک شبه‌حادثه گزارش شد. کار تا اجرای اقدام زیر متوقف ماند: محدوده فوراً ایمن شد، علت بررسی و اقدامی همراه با مسئول و مهلت تعیین گردید.,"Im RAMS und in der Unterweisung zu „Technische Maßnahme“ wurde dieser konkrete Arbeitsablauf beschrieben: Ein Beinaheunfall wurde gemeldet, nachdem ungesichertes Material in einen Laufweg gerutscht war. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Bereich wurde sofort gesichert, die Ursache bewertet und eine Maßnahme mit Verantwortlichem und Frist festgelegt.",در RAMS و آموزش مربوط به «اقدام فنی» این روند واقعی کار شرح داده شد: پس از لغزش مصالح مهارنشده به مسیر تردد، یک شبه‌حادثه گزارش شد. کار تا اجرای اقدام زیر متوقف ماند: محدوده فوراً ایمن شد، علت بررسی و اقدامی همراه با مسئول و مهلت تعیین گردید.,ArbSchG; DGUV Vorschrift 1; DGUV Vorschrift 2,praxisnah-v6-szenario-und-dokumentation
